Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of stays;National Total;01 Andalucía;Total;2019M09;216.000
Number of stays;National Total;01 Andalucía;Total;2019M08;261.000
Number of stays;National Total;01 Andalucía;Total;2019M07;212.000
Number of stays;National Total;01 Andalucía;Total;2019M06;198.000
Number of stays;National Total;01 Andalucía;Total;2019M05;198.000
Number of stays;National Total;01 Andalucía;Total;2019M04;188.000
Number of stays;National Total;01 Andalucía;Total;2019M03;135.000
Number of stays;National Total;01 Andalucía;Total;2019M02;113.000
Number of stays;National Total;01 Andalucía;Total;2019M01;97.000
Number of stays;National Total;01 Andalucía;Total;2018M12;113.000
Number of stays;National Total;01 Andalucía;Total;2018M11;102.000
Number of stays;National Total;01 Andalucía;Total;2018M10;159.000
Number of stays;National Total;01 Andalucía;Total;2018M09;186.000
Number of stays;National Total;01 Andalucía;Total;2018M08;225.000
Number of stays;National Total;01 Andalucía;Total;2018M07;187.000
Number of stays;National Total;01 Andalucía;Total;2018M06;161.000
Number of stays;National Total;01 Andalucía;Total;2018M05;156.000
Number of stays;National Total;01 Andalucía;Total;2018M04;149.000
Number of stays;National Total;01 Andalucía;Total;2018M03;119.000
Number of stays;National Total;01 Andalucía;Total;2018M02;91.000
Number of stays;National Total;01 Andalucía;Total;2018M01;79.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2024M09;""
Number of stays;National Total;01 Andalucía;Residents in Spain;2024M08;""
Number of stays;National Total;01 Andalucía;Residents in Spain;2024M07;""
Number of stays;National Total;01 Andalucía;Residents in Spain;2024M06;143.013
Number of stays;National Total;01 Andalucía;Residents in Spain;2024M05;138.557
Number of stays;National Total;01 Andalucía;Residents in Spain;2024M04;111.160
Number of stays;National Total;01 Andalucía;Residents in Spain;2024M03;120.062
Number of stays;National Total;01 Andalucía;Residents in Spain;2024M02;98.005
Number of stays;National Total;01 Andalucía;Residents in Spain;2024M01;74.157
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M12;114.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M11;77.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M10;99.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M09;124.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M08;192.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M07;159.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M06;121.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M05;91.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M04;129.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M03;84.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M02;80.000
Number of stays;National Total;01 Andalucía;Residents in Spain;2023M01;64.000
